num__AGE,num__PTEDUCAT,num__CDGLOBAL,num__CDRSB,num__MMSCORE,cat__PTGENDER_Female,cat__PTGENDER_Male,cat__PTETHCAT_Hispanic or Latino,cat__PTETHCAT_Not Hispanic or Latino,cat__PTETHCAT_Unknown,cat__PTRACCAT_American Indian or Alaskan Native,cat__PTRACCAT_Asian,cat__PTRACCAT_Black or African American,cat__PTRACCAT_More than one race,cat__PTRACCAT_Native Hawaiian or Other Pacific Islander,cat__PTRACCAT_Unknown,cat__PTRACCAT_White,cat__APOE_ε2/ε3,cat__APOE_ε2/ε4,cat__APOE_ε3/ε3,cat__APOE_ε3/ε4,cat__APOE_ε4/ε4
-0.21119143,0.11020043,0.007215565,-1.1280462,0.28825456,-0.069396436,-0.018203277,0.00051556283,0.0003943207,-0.0006358824,0.0,0.003540793,-0.049767572,0.0,0.0,0.0,0.036771998,0.050898198,0.0023394914,0.1670174,0.09560441,-0.05265261
-0.48037088,-0.09580817,0.0068374895,-0.48763207,-1.0341357,0.08022599,0.016147666,0.0017725263,-0.0020936234,-0.00049097877,0.0,0.0032507852,-0.005145843,0.0,0.0,0.0,0.044769663,0.042781416,-0.0034955386,-0.37418252,-0.10103754,-0.10321986
-1.1328022,-0.19576365,0.006527605,-0.57717013,-0.5246859,-0.010732975,-0.009906084,-0.005687338,-0.0020936234,-0.0006358824,0.0,0.003289525,-0.004787646,0.0,0.0,0.0,0.056301914,0.04284201,-0.005307291,-0.4712233,-0.105367444,-0.10467288
-0.40860108,0.013867433,0.006769952,-1.0909256,-0.8714188,-0.06696524,-0.029834155,0.00051556283,0.0002721914,-0.0006358824,0.0,0.003471313,-0.047165584,0.0,0.0,0.0,0.029207626,0.04709024,-0.0019392441,0.22209848,-0.16213252,0.16251028
0.42736194,-0.19131993,0.0069739595,0.27966565,0.41797844,-0.22392853,-0.027448645,0.0029172977,-0.0017336407,-0.00049097877,0.0,0.003097173,-0.011394087,0.0,0.0,0.0,0.041239377,0.06165312,0.0034100015,-0.47959992,-0.17064822,-0.050584637
-0.3236655,0.09552839,0.007060614,-0.4660206,-0.43185535,-0.06679936,0.02004689,-0.011400327,0.00029101642,-0.0006358824,0.0,0.003352089,0.28768414,0.0,0.0,0.0,-0.97397006,0.044199068,-0.00017857016,0.25107187,0.17920315,-0.08079642
0.106141776,0.35354292,0.006331217,-0.6242727,-0.298335,-0.0007719461,-0.012717715,0.001955844,-0.0037005376,-0.00049097877,0.0,0.003404068,-0.011468955,0.0,0.0,0.0,0.044733178,0.048290364,-0.003544136,0.29445595,0.084865026,-0.053945094
-0.72120214,0.005297084,0.0072831023,-0.4834719,0.2342126,-0.06680067,0.013159531,0.0029049776,0.0018640552,-0.0006358824,0.0,0.0033241357,-0.004552911,0.0,0.0,0.0,0.06544753,0.049845647,0.003100259,-0.41243425,-0.1329302,-0.097421005
-1.4977984,-0.30102947,0.0069732177,-0.5420402,0.46306556,0.002102299,-0.014369226,-0.005392205,-0.0002269526,-0.0006358824,0.0,0.0034011626,-0.0045119664,0.0,0.0,0.0,0.08259243,0.046543352,0.002087034,-0.21671923,-0.047392245,-0.0660756
-1.2767217,-0.26204413,0.006527605,-0.6415221,-1.449009,0.027077023,0.013028912,-0.00064585183,0.0007695381,-0.0006358824,0.0,0.0032507852,-0.004818265,0.0,0.0,0.0,0.056638658,0.040784605,-0.005786483,0.03766786,0.04520753,-0.07667647
-0.4503223,-0.08178583,0.0068374895,-0.4675958,-1.2697419,-0.2324029,-0.03079369,0.0025847452,-0.0020936234,-0.0006358824,0.0,0.003215916,-0.004402867,0.0,0.0,0.0,0.056528464,0.042959027,-0.0046144333,-0.26692966,-0.12273549,-0.112754546
-0.9970439,-0.11735598,0.006492775,-0.62690145,0.22569935,-0.065408826,-0.014854269,-0.011617083,0.0010321564,-0.0006358824,0.0,-0.3311518,-0.004415361,0.0,0.0,0.0,-1.4439664,0.047278304,0.0016644316,0.17455688,0.08894974,-0.08464862
0.12482823,-0.025269918,0.006844368,0.5893957,0.16116743,0.032057777,-0.0017980072,0.0035926686,0.0012235465,-0.006284812,0.0,0.0031732589,-0.005991524,0.0,0.0,0.0,0.063174546,0.062797494,0.0020281274,-0.29677257,-0.13348372,-0.035499625
0.48091865,-0.04425624,0.0072061406,-0.82296985,0.43492582,-0.11498985,0.01526252,0.0011567839,-0.0015680443,-0.0006358824,0.0,0.0034637265,-0.0465491,0.0,0.0,0.0,0.050482493,0.047475733,0.0033325953,-0.33909547,-0.11583127,-0.06868907
0.057098836,-0.8237272,0.0068371864,-0.121022895,0.0006062924,-0.22189899,-0.03676834,0.0011346441,-0.0056864303,-0.00049097877,0.0,0.0033303525,-0.011932654,0.0,0.0,0.0,0.051469028,0.058873873,0.003261111,-0.4371711,-0.161097,-0.074004166
-1.220793,0.01543224,0.0068315077,0.68045986,0.5799282,0.0051082247,0.0025271284,0.0014636432,-0.0049591,-0.0006358824,0.0,0.0030458681,-0.006845432,0.0,0.0,0.0,0.081681,0.06205047,0.0021834266,0.10725722,0.11683867,-0.027555892
0.8562189,0.12107138,0.007525652,-0.25664514,0.48633742,0.021178266,-0.013693261,0.004043721,0.0012262193,-0.0006358824,0.0,0.0035157055,-0.010505721,0.0,0.0,0.0,0.074205875,0.05099313,0.0026981696,-0.271934,-0.08887542,-0.050329406
-0.31198922,-0.6901633,0.0052504996,-0.57843006,-0.36462408,-0.046246603,-0.009514107,0.002387358,0.00096826645,-0.006284812,0.0,0.0028697923,-0.0046454673,0.0,0.0,0.0,0.048366748,-2.187507,-0.006469757,0.22127391,-0.081141755,-0.1004684
-0.98550236,-1.0943217,0.0055755577,-0.540315,-0.95284367,0.033446908,-0.01327815,0.00379924,0.0006361285,-0.0006358824,0.0,0.0029884991,-0.010418089,0.0,0.0,0.0,0.05136332,0.045769323,-0.0016714553,-0.3956083,-0.148932,-0.08274062
-0.39901876,0.08961361,0.006769952,-1.0025805,-0.63458186,-0.00081411516,-0.0132550895,0.0014740024,0.0012065277,-0.0006358824,0.0,0.0034281749,-0.04931601,0.0,0.0,0.0,0.032752994,0.042240065,-0.005534692,-0.40970927,-0.10604853,-0.07527955
-0.23758079,-0.51448005,0.0063235145,-0.68951005,-1.4794824,-0.21558802,-0.031457152,0.003055255,0.0011146504,-0.0006358824,0.0,0.0029533803,-0.0039459853,0.0,0.0,0.0,0.057319224,0.042929523,-0.005057204,-0.3056626,-0.11601412,-0.13055354
-2.488724,-0.2973405,0.0060888696,-0.53835374,-0.66317916,0.01525633,-0.011395793,-0.02391519,-0.0020936234,-0.0006358824,0.0,0.003289525,-0.004787646,0.0,0.0,0.0,0.054665193,0.041651193,-0.005388335,-0.3156762,-0.08403061,-0.06809834
0.25825623,0.30470094,0.007080039,-0.82017,-0.65046203,0.020996721,-0.016205389,0.00034456514,-0.0021581352,-0.00049097877,0.0,0.003471313,-0.056270897,0.0,0.0,0.0,0.018241629,0.043476947,0.0008751437,-0.5812446,-0.17331097,-0.073714286
-0.82167834,-0.23948681,0.006534483,0.5929061,0.28449976,0.0073111453,-0.0017980072,-0.003509947,-0.0009593385,-0.0006358824,0.0,0.0033350335,-0.004827052,0.0,0.0,0.0,0.079005934,0.060511384,0.0015386255,-0.31040186,-0.14859065,-0.0474886
-0.20471035,-0.5935354,0.0067015896,-0.60679317,0.6116322,-0.09610191,0.013775298,0.004197012,0.0012262193,-0.0006358824,0.0,0.003133946,-0.006460895,0.0,0.0,0.0,0.07926192,0.050009396,0.0021001403,-0.39709637,-0.113670744,-0.07649502
-1.1927323,-0.07304579,0.006664386,0.6045558,0.039738685,-0.15411533,-0.03676834,0.0021048645,-0.008317165,-0.0006358824,0.0,0.0029266442,-0.0065025794,0.0,0.0,0.0,0.07970033,0.058386344,0.0029766774,-0.28543136,-0.17220162,-0.04332129
0.2368068,-0.05557333,0.005474233,-0.4579016,-0.4580821,-0.038568992,-0.016205389,-0.012639516,-0.002304519,-0.0006358824,0.0,-0.32447416,-0.0530501,0.0,0.0,0.0,-0.8173766,-1.9181834,-0.0028240574,0.13631104,-0.13984178,-0.044720333
0.48720652,0.42375124,-0.69615006,-0.7533261,0.46618232,0.013007622,-0.016205389,-0.012358645,-0.0015680443,-0.00049097877,0.0,-0.29657584,-0.05584479,0.0,0.0,0.0,-0.7779659,0.041858956,0.003310642,-0.46275744,-0.07518682,-0.084744796
-1.5825881,-0.080538966,0.00607714,-0.2587909,1.167857,0.0069459057,-0.012441272,0.0005425387,0.0018640552,-0.0006358824,0.0,0.003138627,-0.003982539,0.0,0.0,0.0,0.090355344,0.04708068,0.00093809445,-0.28418708,-0.0950016,-0.08380194
