Model,Accuracy,Balanced_Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC
XGBoost,0.78,0.6410984848484849,0.2619047619047619,0.4583333333333333,0.3333333333333333,0.6922348484848485,0.2458613127830364
Random Forest,0.78,0.6590909090909092,0.2727272727272727,0.5,0.35294117647058826,0.7402935606060607,0.2899431326445321
EBM,0.88,0.5,0.0,0.0,0.0,0.7561553030303031,0.32798377413601687
