Top_K,XGBoost_Top,RandomForest_Top,EBM_Top,Common_All_Models,Jaccard_All_Models
3,"AGE, CDRSB, MMSCORE","AGE, CDRSB, MMSCORE","AGE, CDRSB, MMSCORE","AGE, CDRSB, MMSCORE",1.0
5,"AGE, APOE, CDRSB, MMSCORE, PTEDUCAT","AGE, APOE, CDRSB, MMSCORE, PTEDUCAT","AGE, APOE, CDRSB, MMSCORE, PTEDUCAT","AGE, APOE, CDRSB, MMSCORE, PTEDUCAT",1.0
